Title,Runtime,User Rating,Metascore,Votes,Imdb Gross,Genre
Wanted,110 min,6.7,64        ,375262,"134,508,551",Action
Identity Thief,111 min,5.7,35        ,129374,"134,506,920",Comedy
Mission: Impossible III,126 min,6.9,66        ,341938,"134,029,801",Action
Grown Ups 2,101 min,5.4,19        ,147037,"133,668,525",Comedy            
Troy,163 min,7.3,56        ,508681,"133,378,256",Drama
Angels & Demons,138 min,6.7,48        ,283411,"133,375,846",Action
Alvin and the Chipmunks: Chipwrecked,87 min,4.3,24        ,33545,"133,110,742",Animation
Bringing Down the House,105 min,5.6,39        ,35866,"132,716,677",Comedy            
The Wolverine,126 min,6.7,61        ,445167,"132,556,852",Action
Wonder,113 min,8.0,66        ,153811,"132,422,809",Drama
The Departed,151 min,8.5,85        ,1246605,"132,384,315",Crime
Hulk,138 min,5.6,54        ,259713,"132,177,234",Action
Silver Linings Playbook,122 min,7.7,81        ,682783,"132,092,958",Comedy
Minority Report,145 min,7.6,80        ,528334,"132,072,926",Action
Fantastic Four: Rise of the Silver Surfer,92 min,5.6,45        ,257446,"131,921,738",Action
The Last Airbender,103 min,4.0,20        ,158768,"131,564,731",Action
Rio 2,101 min,6.3,49        ,85297,"131,538,435",Animation
Lara Croft: Tomb Raider,100 min,5.8,33        ,204469,"131,144,183",Action
Get Smart,110 min,6.5,54        ,210908,"130,319,208",Action
The Divergent Series: Insurgent,119 min,6.2,42        ,227156,"130,179,072",Action
The Peanuts Movie,88 min,7.1,67        ,44192,"130,178,411",Animation
Transformers: The Last Knight,154 min,5.2,27        ,143023,"130,168,683",Action
American Gangster,157 min,7.8,76        ,407853,"130,164,645",Biography
The Ring,115 min,7.1,57        ,334435,"129,128,133",Horror
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84 min,7.3,89        ,391986,"128,505,958",Comedy            
Ghostbusters: Answer the Call,117 min,6.5,60        ,213957,"128,344,089",Action
Kingsman: The Secret Service,129 min,7.7,60        ,619637,"128,261,724",Action
Robots,91 min,6.3,64        ,139368,"128,200,012",Animation
